Pe_p, D_eff_xx
2.0894553923e-1, 6.4308840122e-1
3.6609417839e-1, 6.4308840122e-1
6.5542080532e-1, 6.4308840122e-1
1.0764515964e+0, 6.5715705234e-1
1.4249826694e+0, 6.8622441463e-1
1.8462571669e+0, 7.4827313018e-1
2.3922690560e+0, 8.5202262587e-1
3.1000098095e+0, 1.0130691671e+0
3.7652642476e+0, 1.1787686348e+0
5.4370458786e+0, 1.7402093741e+0
6.8963420725e+0, 2.2562304630e+0
9.1340373064e+0, 3.1214824840e+0
1.4697545384e+1, 5.7216171823e+0
3.0007063943e+1, 1.6167639487e+1
4.9357061781e+1, 3.6795056462e+1
7.7750736756e+1, 8.0192792770e+1
1.3355843490e+2, 2.0781130659e+2
2.1040775993e+2, 4.7294651548e+2
2.7279958646e+2, 7.4504147737e+2
3.8567336536e+2, 1.3656466568e+3
5.5718380611e+2, 2.6139256660e+3
8.7764419286e+2, 5.4555947812e+3
