Ki_l, D_eff_l_xx
1.013988857142e-2, 6.455445544554e-1
1.455110342627e-2, 6.458415841584e-1
1.921142491135e-2, 6.458415841584e-1
2.501439740648e-2, 6.461386138614e-1
3.443128592363e-2, 6.464356435644e-1
4.805622174772e-2, 6.467326732673e-1
6.707273303090e-2, 6.470297029703e-1
8.979307317887e-2, 6.479207920792e-1
1.153028708561e-1, 6.485148514851e-1
1.565201068653e-1, 6.500000000000e-1
2.009867468543e-1, 6.511881188119e-1
2.616964843810e-1, 6.526732673267e-1
3.602144130242e-1, 6.553465346535e-1
4.690202064921e-1, 6.577227722772e-1
6.022666825350e-1, 6.609900990099e-1
7.626985859023e-1, 6.645544554455e-1
9.264404230792e-1, 6.681188118812e-1
1.141077741302e+0, 6.722772277228e-1
1.425102670303e+0, 6.776237623762e-1
1.804721766827e+0, 6.835643564356e-1
2.132104302028e+0, 6.886138613861e-1
2.518875118750e+0, 6.945544554455e-1
2.975807448923e+0, 6.996039603960e-1
3.234475914877e+0, 7.031683168317e-1
3.768503553373e+0, 7.085148514851e-1
4.330128196596e+0, 7.138613861386e-1
4.772358183633e+0, 7.180198019802e-1
5.333330432299e+0, 7.215841584158e-1
6.043619784437e+0, 7.266336633663e-1
7.041450680814e+0, 7.319801980198e-1
8.435163681195e+0, 7.394059405941e-1
9.827850057456e+0, 7.441584158416e-1
1.161065476815e+1, 7.498019801980e-1
1.315695394421e+1, 7.536633663366e-1
1.643184291506e+1, 7.604950495050e-1
1.941263391035e+1, 7.655445544554e-1
2.458377469885e+1, 7.711881188119e-1
3.156791163178e+1, 7.765346534653e-1
3.834514701935e+1, 7.800990099010e-1
4.722893416645e+1, 7.836633663366e-1
6.411182798815e+1, 7.875247524752e-1
8.232570243075e+1, 7.899009900990e-1s
