Pe_p, D_eff_l_xx
1.0466512108e-1,6.9389945750e-1
1.8366499979e-1,6.9220126599e-1
3.1264357272e-1,6.9059869388e-1
4.7126732222e-1,6.8936495950e-1
7.2124997080e-1,6.8808785920e-1
1.1909885624e+0,7.0050199671e-1
2.2549416770e+0,7.2716104904e-1
3.6673844199e+0,7.7064443192e-1
6.5340359280e+0,9.3952230409e-1
1.0789549215e+1,1.3453049037e+0
1.5073628993e+1,2.0066883123e+0
2.1381245656e+1,3.3088977034e+0
3.0328308202e+1,5.7946945907e+0
5.0847619665e+1,1.4847000819e+1
8.7880878449e+1,4.2049649122e+1
1.6387830076e+2,1.4261775222e+2
2.9197558325e+2,4.3762094210e+2
4.2693625508e+2,8.9971417073e+2
5.9645482721e+2,1.7420215255e+3
9.7006018507e+2,4.2883480515e+3
